pixel,flux_adu
4.410000000000000000e+02,1.473499999999999773e+03
4.420000000000000000e+02,1.501499999999999545e+03
4.430000000000000000e+02,1.341500000000000455e+03
4.440000000000000000e+02,1.479499999999999091e+03
4.450000000000000000e+02,1.480499999999998636e+03
4.460000000000000000e+02,1.396500000000001364e+03
4.470000000000000000e+02,1.536999999999999091e+03
4.480000000000000000e+02,1.585999999999999773e+03
4.490000000000000000e+02,1.656000000000000682e+03
4.500000000000000000e+02,1.779000000000000455e+03
4.510000000000000000e+02,1.808999999999999318e+03
4.520000000000000000e+02,2.016499999999999091e+03
4.530000000000000000e+02,2.179000000000000909e+03
4.540000000000000000e+02,2.291000000000000909e+03
4.550000000000000000e+02,2.394500000000000909e+03
4.560000000000000000e+02,2.714500000000000000e+03
4.570000000000000000e+02,3.166000000000000455e+03
4.580000000000000000e+02,3.492999999999998181e+03
4.590000000000000000e+02,3.760500000000000000e+03
4.600000000000000000e+02,4.257500000000000000e+03
4.610000000000000000e+02,4.709000000000001819e+03
4.620000000000000000e+02,5.634000000000001819e+03
4.630000000000000000e+02,6.267999999999999091e+03
4.640000000000000000e+02,7.009000000000000909e+03
4.650000000000000000e+02,7.043000000000000000e+03
4.660000000000000000e+02,7.370999999999997272e+03
4.670000000000000000e+02,6.970500000000000000e+03
4.680000000000000000e+02,6.511999999999999091e+03
4.690000000000000000e+02,6.336500000000001819e+03
4.700000000000000000e+02,6.500500000000000909e+03
4.710000000000000000e+02,5.560000000000002728e+03
4.720000000000000000e+02,4.840500000000001819e+03
4.730000000000000000e+02,4.247000000000002728e+03
4.740000000000000000e+02,3.771999999999998636e+03
4.750000000000000000e+02,3.516500000000000000e+03
4.760000000000000000e+02,3.457500000000000455e+03
4.770000000000000000e+02,3.144499999999999091e+03
4.780000000000000000e+02,3.122999999999999091e+03
4.790000000000000000e+02,2.865499999999999091e+03
4.800000000000000000e+02,2.706000000000000909e+03
4.810000000000000000e+02,2.503999999999999091e+03
4.820000000000000000e+02,2.432000000000000000e+03
4.830000000000000000e+02,2.382000000000000909e+03
