pixel,flux_adu
4.140000000000000000e+02,2.199112673474709936e+03
4.150000000000000000e+02,1.874247951098752992e+03
4.160000000000000000e+02,2.436001637763838517e+03
4.170000000000000000e+02,2.227485883284062766e+03
4.180000000000000000e+02,2.107573124355400068e+03
4.190000000000000000e+02,2.081201702628794919e+03
4.200000000000000000e+02,2.229342312648869665e+03
4.210000000000000000e+02,2.422712943887876463e+03
4.220000000000000000e+02,2.129731110575103230e+03
4.230000000000000000e+02,2.134210976759649839e+03
4.240000000000000000e+02,1.999655471956957399e+03
4.250000000000000000e+02,2.286690134102009779e+03
4.260000000000000000e+02,2.546678282293930806e+03
4.270000000000000000e+02,2.794770446268228625e+03
4.280000000000000000e+02,3.319375039471614855e+03
4.290000000000000000e+02,2.494848402050278764e+03
4.300000000000000000e+02,2.210727242522817505e+03
4.310000000000000000e+02,2.370173306778838196e+03
4.320000000000000000e+02,2.697687195373594022e+03
4.330000000000000000e+02,2.827257339178726397e+03
4.340000000000000000e+02,2.800507066193431456e+03
4.350000000000000000e+02,2.830379665990663398e+03
4.360000000000000000e+02,3.058180048568439361e+03
4.370000000000000000e+02,3.297082344862174978e+03
4.380000000000000000e+02,3.256734017727324044e+03
4.390000000000000000e+02,2.938906862654513588e+03
4.400000000000000000e+02,3.308829777555337387e+03
4.410000000000000000e+02,3.173701724870266389e+03
4.420000000000000000e+02,3.291205289054537388e+03
4.430000000000000000e+02,3.141308112104138218e+03
4.440000000000000000e+02,2.860703630108678681e+03
4.450000000000000000e+02,2.584786522251126826e+03
4.460000000000000000e+02,3.205378164402965467e+03
4.470000000000000000e+02,3.751576657134285142e+03
4.480000000000000000e+02,4.135716416767626470e+03
4.490000000000000000e+02,4.103580604706307895e+03
4.500000000000000000e+02,4.403951433515781900e+03
4.510000000000000000e+02,5.205579851204026454e+03
4.520000000000000000e+02,5.648385294533121851e+03
4.530000000000000000e+02,6.005528191023402542e+03
4.540000000000000000e+02,6.544135446404388858e+03
4.550000000000000000e+02,6.720618260168828783e+03
4.560000000000000000e+02,7.360609393758636543e+03
4.570000000000000000e+02,7.370051135515670467e+03
4.580000000000000000e+02,7.922134118618048888e+03
4.590000000000000000e+02,8.541937781475215161e+03
4.600000000000000000e+02,9.464752271518862472e+03
4.610000000000000000e+02,9.982086415557510918e+03
4.620000000000000000e+02,1.067313572134806964e+04
4.630000000000000000e+02,1.096264688244733770e+04
4.640000000000000000e+02,1.206508897659109425e+04
4.650000000000000000e+02,1.180831188413459495e+04
4.660000000000000000e+02,1.140322018520366692e+04
4.670000000000000000e+02,1.043371597694781485e+04
4.680000000000000000e+02,1.037412198833573711e+04
4.690000000000000000e+02,9.271011417066887589e+03
4.700000000000000000e+02,8.651018187398591181e+03
4.710000000000000000e+02,7.618515544076196420e+03
4.720000000000000000e+02,7.351450910659964393e+03
4.730000000000000000e+02,6.196763917203168603e+03
4.740000000000000000e+02,5.320102595157251017e+03
4.750000000000000000e+02,5.781842374709664909e+03
4.760000000000000000e+02,5.950858852553146789e+03
4.770000000000000000e+02,5.156224644348983929e+03
4.780000000000000000e+02,4.453991072176330817e+03
4.790000000000000000e+02,4.093210562951449901e+03
4.800000000000000000e+02,4.355594409466112666e+03
4.810000000000000000e+02,4.604631264006892707e+03
4.820000000000000000e+02,4.122788737419999052e+03
4.830000000000000000e+02,3.408331260304077205e+03
4.840000000000000000e+02,3.398769013853575871e+03
4.850000000000000000e+02,3.374892388744900472e+03
4.860000000000000000e+02,2.933690295611958845e+03
4.870000000000000000e+02,3.000712076335947586e+03
4.880000000000000000e+02,2.576752039691010395e+03
4.890000000000000000e+02,2.083497882625282728e+03
4.900000000000000000e+02,2.247744668679280949e+03
4.910000000000000000e+02,2.303079334700958498e+03
4.920000000000000000e+02,2.004565269825173800e+03
4.930000000000000000e+02,2.504075060951809064e+03
4.940000000000000000e+02,3.131754660568529744e+03
4.950000000000000000e+02,2.919523602971263244e+03
4.960000000000000000e+02,3.083478847575408054e+03
4.970000000000000000e+02,3.448436142219587509e+03
4.980000000000000000e+02,3.659000061237299633e+03
4.990000000000000000e+02,3.771082377806830209e+03
5.000000000000000000e+02,3.956814529114537891e+03
5.010000000000000000e+02,2.957608873491540635e+03
5.020000000000000000e+02,2.989118590320669227e+03
5.030000000000000000e+02,3.666065582945534516e+03
5.040000000000000000e+02,4.136285233235600572e+03
5.050000000000000000e+02,3.834112454320584675e+03
